"first_name","last_name","hire_date"
"Radhia","Adachi","1986-12-19"
"Kenroku","Adachi","1986-06-18"
"Zhenhua","Adachi","1986-07-01"
"Serif","Adachi","1986-02-17"
"Hironoby","Adachi","1986-12-21"
"Giao","Adachi","1986-11-04"
"Berhard","Adachi","1986-04-14"
"Billur","Adachi","1986-09-21"
"Tommaso","Adachi","1986-01-16"
"Jayesh","Adachi","1986-12-05"
"Guoxiang","Adachi","1986-05-26"
"Subhrajyoti","Adachi","1986-03-26"
"Yannik","Adachi","1986-01-10"
"Masoud","Adachi","1986-08-05"
"Richard","Adachi","1986-07-29"
"Zhaofang","Adachi","1986-11-09"
"Changho","Adachi","1986-09-09"
"Yongmin","Adachi","1986-04-30"
"Houman","Adachi","1986-05-04"
"Lucien","Adachi","1986-09-25"
"Kenton","Aingworth","1986-03-31"
"Shimshon","Aingworth","1986-04-13"
"Collette","Aingworth","1986-07-01"
"Roded","Aingworth","1986-11-21"
"Lene","Aingworth","1986-08-31"
"Guiseppe","Aingworth","1986-07-16"
"Sajjad","Aingworth","1986-10-31"
"Wanqing","Aingworth","1986-11-28"
"Giap","Aingworth","1986-08-08"
"Lech","Aingworth","1986-08-16"
"Mohammad","Aingworth","1986-02-18"
"Mana","Aingworth","1986-04-26"
"Kiyokazu","Aingworth","1986-01-28"
"Wilmer","Aingworth","1986-05-21"
"Phillip","Aingworth","1986-01-20"
"Jiang","Aingworth","1986-07-12"
"Foong","Aingworth","1986-03-19"
"Kazuhiko","Aingworth","1986-12-26"
"Erzsebet","Aingworth","1986-02-20"
"Navin","Aingworth","1986-05-19"
"Yongmao","Akaboshi","1986-01-19"
"Mingsen","Akaboshi","1986-03-14"
"TRUE","Akaboshi","1986-12-23"
"Peternela","Akaboshi","1986-01-10"
"Parviz","Akaboshi","1986-09-22"
"Takahiro","Akaboshi","1986-04-10"
"Lidong","Akaboshi","1986-07-26"
"Paris","Akaboshi","1986-04-07"
"Arve","Akaboshi","1986-01-31"
"Jacqueline","Akaboshi","1986-07-27"
"Yurij","Akaboshi","1986-08-16"
"Bernice","Akaboshi","1986-12-30"
"Uta","Akaboshi","1986-05-30"
"Hinrich","Akaboshi","1986-04-02"
"Udaiprakash","Akaboshi","1986-02-11"
"Quingbo","Akaboshi","1986-11-15"
"Akeel","Akaboshi","1986-07-06"
"Nobuyoshi","Akaboshi","1986-06-01"
"Gill","Akaboshi","1986-01-29"
"Fen","Akaboshi","1986-03-08"
"Mayuko","Akaboshi","1986-04-27"
"Margareta","Akaboshi","1986-04-09"
"Sanjit","Akaboshi","1986-08-20"
"Mooi","Akaboshi","1986-05-31"
"Shuichi","Akaboshi","1986-11-04"
"Shir","Akaboshi","1986-09-14"
"Hyuckchul","Akazan","1986-10-20"
"Martina","Akazan","1986-04-17"
"Shawna","Akazan","1986-02-21"
"Fumino","Akazan","1986-04-03"
"Guiseppe","Akazan","1986-04-22"
"Oksana","Akazan","1986-12-05"
"Magy","Akazan","1986-02-23"
"Niranjan","Akazan","1986-08-07"
"Torsten","Akazan","1986-10-15"
"Jiann","Akazan","1986-01-27"
"Radhakrishnan","Akazan","1986-01-17"
"Kannan","Akazan","1986-11-20"
"Genta","Akazan","1986-12-07"
"Abdelkader","Akazan","1986-02-27"
"Ashish","Akazan","1986-08-28"
"Dietrich","Akazan","1986-01-17"
"Parviz","Akazan","1986-08-30"
"Padma","Akazan","1986-11-11"
"Boaz","Akazan","1986-06-30"
"Yonghong","Akazan","1986-07-14"
"Xinyu","Akazan","1986-06-07"
"Tayeb","Akazan","1986-10-09"
"Serenella","Akazan","1986-03-03"
"Youjian","Akazan","1986-05-02"
"Kensei","Akazan","1986-12-18"
"Collette","Akazan","1986-05-14"
"Khalid","Akiyama","1986-01-31"
"Dmitry","Akiyama","1986-03-02"
"Hidde","Akiyama","1986-02-15"
"Vitaly","Akiyama","1986-05-24"
"Margareta","Akiyama","1986-07-13"
"Kwan","Akiyama","1986-06-21"
"Van","Akiyama","1986-08-22"
"Trygve","Akiyama","1986-12-04"
"Owen","Akiyama","1986-12-20"
"Shahar","Akiyama","1986-07-19"
"Mostafa","Akiyama","1986-12-16"
"Utz","Akiyama","1986-09-23"
"Margo","Akiyama","1986-02-10"
"Vasilii","Akiyama","1986-07-16"
"Mingzeng","Akiyama","1986-12-14"
"Mitchel","Alameldin","1986-03-31"
"Edwin","Alameldin","1986-11-02"
"Teruyuki","Alameldin","1986-11-21"
"Nadjib","Alameldin","1986-11-16"
"Sampalli","Alameldin","1986-02-03"
"Tesuya","Alameldin","1986-09-26"
"Shrikanth","Alameldin","1986-02-17"
"Danel","Alameldin","1986-07-07"
"Alagu","Alameldin","1986-09-05"
"Lorien","Alameldin","1986-09-27"
"Qiwen","Alameldin","1986-11-14"
"Alain","Alameldin","1986-07-24"
"Kirk","Alameldin","1986-11-26"
"Yahiko","Alameldin","1986-09-26"
"Jingling","Alameldin","1986-12-20"
"Jacopo","Alameldin","1986-07-18"
"Jianhao","Alameldin","1986-04-13"
"Yongqiao","Alameldin","1986-10-29"
"Shooichi","Alameldin","1986-02-13"
"Weicheng","Alameldin","1986-04-09"
"Vishu","Alameldin","1986-12-25"
"Xiahua","Albarhamtoshy","1986-07-15"
"Parke","Albarhamtoshy","1986-12-25"
"Ymte","Albarhamtoshy","1986-10-27"
"Shmuel","Albarhamtoshy","1986-03-02"
"Masali","Albarhamtoshy","1986-06-13"
"Richard","Albarhamtoshy","1986-10-28"
"Badri","Albarhamtoshy","1986-11-28"
"Roselyn","Albarhamtoshy","1986-01-18"
"Charlene","Albarhamtoshy","1986-12-18"
"Radhakrishnan","Albarhamtoshy","1986-05-07"
"Junsik","Albarhamtoshy","1986-04-08"
"Teiji","Albarhamtoshy","1986-06-27"
"Yannis","Albarhamtoshy","1986-07-04"
"Anoosh","Albarhamtoshy","1986-10-03"
"Sadegh","Albarhamtoshy","1986-07-16"
"Yucai","Albarhamtoshy","1986-12-27"
"Poornachandra","Albarhamtoshy","1986-12-16"
"Samphel","Albarhamtoshy","1986-09-05"
"Subhada","Albarhamtoshy","1986-02-23"
"Marl","Albarhamtoshy","1986-06-10"
"Huei","Albarhamtoshy","1986-01-18"
"Gift","Albarhamtoshy","1986-02-11"
"Beshir","Alblas","1986-03-11"
"Tayeb","Alblas","1986-06-28"
"Sangeeta","Alblas","1986-10-24"
"Deborah","Alblas","1986-02-10"
"Joydip","Alblas","1986-11-24"
"Valeri","Alblas","1986-11-13"
"Tsuneo","Alblas","1986-05-12"
"Mingsen","Alblas","1986-11-16"
"Jacopo","Alblas","1986-11-08"
"Ger","Alblas","1986-10-16"
"Randi","Alblas","1986-09-19"
"Boriana","Alblas","1986-06-25"
"Elvia","Alblas","1986-12-03"
"Houman","Alblas","1986-02-20"
"Nigel","Alblas","1986-10-09"
"Gina","Alblas","1986-12-30"
"Hisao","Alblas","1986-01-14"
"Constantino","Alblas","1986-07-17"
"Shir","Alblas","1986-05-10"
"Chenxi","Alblas","1986-01-29"
"Miomir","Alblas","1986-12-10"
"Reuven","Alblas","1986-02-04"
"Serge","Alblas","1986-03-06"
"Jaber","Alblas","1986-11-02"
"Shan","Alblas","1986-09-06"
"Wilmer","Alblas","1986-12-14"
"Miyeon","Alblas","1986-02-07"
"Xiaobin","Alblas","1986-12-31"
"Kwangyoen","Alencar","1986-07-29"
"Gio","Alencar","1986-04-16"
"Muzhong","Alencar","1986-06-12"
"Guangming","Alencar","1986-11-28"
"Laurentiu","Alencar","1986-12-25"
"Shimshon","Alencar","1986-06-23"
"Weidon","Alencar","1986-08-17"
"Ekawit","Alencar","1986-05-13"
"Yonghoan","Alencar","1986-03-22"
"Valeri","Alencar","1986-10-21"
"Xianlong","Alencar","1986-03-14"
"Baoqiu","Aloia","1986-07-29"
"Shem","Aloia","1986-03-31"
"Paloma","Aloia","1986-01-30"
"Macha","Aloia","1986-08-30"
"Genki","Aloia","1986-12-14"
"Rosella","Aloia","1986-01-03"
"Shuzo","Aloia","1986-05-20"
"Fumiya","Aloia","1986-10-20"
"Edwin","Aloia","1986-07-05"
"Kristine","Aloia","1986-07-22"
"Kwangsub","Aloia","1986-04-03"
"Kwan","Aloia","1986-12-04"
"Arlette","Aloia","1986-11-26"
"Yahiko","Aloia","1986-07-25"
"Fen","Aloia","1986-08-18"
"Doohun","Aloia","1986-11-28"
"Kiyokazu","Aloia","1986-05-25"
"Greger","Aloia","1986-01-30"
"Berna","Aloia","1986-03-21"
"Conal","Aloia","1986-02-02"
"Atreyi","Aloisi","1986-07-23"
"Rajmohan","Aloisi","1986-01-23"
"Mostafa","Aloisi","1986-02-13"
"Younwoo","Aloisi","1986-11-12"
"Xuedong","Aloisi","1986-08-31"
"Tristan","Aloisi","1986-02-15"
"Jessie","Aloisi","1986-07-16"
"Kristinn","Aloisi","1986-05-29"
"Goetz","Aloisi","1986-11-08"
"Shrikanth","Aloisi","1986-05-14"
"Nidapan","Aloisi","1986-10-08"
"Jouni","Aloisi","1986-01-12"
"Reuven","Aloisi","1986-07-26"
"Kayoko","Aloisi","1986-02-08"
"Bartek","Aloisi","1986-07-20"
"Hatsukazu","Aloisi","1986-02-20"
"Chaitali","Aloisi","1986-08-08"
"Jahangir","Aloisi","1986-10-19"
"Poorav","Aloisi","1986-06-14"
"Yannis","Aloisi","1986-11-07"
"Filipp","Aloisi","1986-10-14"
"Frazer","Aloisi","1986-03-14"
"Dulce","Alpay","1986-11-07"
"Izaskun","Alpay","1986-01-08"
"Brendon","Alpay","1986-04-05"
"Chenye","Alpay","1986-06-06"
"Tiina","Alpay","1986-07-25"
"Arnould","Alpay","1986-07-06"
"Tru","Alpay","1986-11-20"
"Boaz","Alpay","1986-09-27"
"Kristian","Alpay","1986-06-02"
"Boalin","Alpay","1986-10-17"
"Berry","Alpay","1986-12-29"
"Gianluca","Alpay","1986-08-01"
"Martien","Alpay","1986-11-08"
"Xudong","Alpay","1986-09-28"
"Arie","Alpay","1986-11-23"
"Yuuichi","Alpay","1986-12-06"
"Leah","Alpay","1986-01-03"
"Sreekrishna","Alpay","1986-11-03"
"Fai","Alpay","1986-07-16"
"Mokhtar","Alpay","1986-03-28"
"Guadalupe","Alpay","1986-07-19"
"Kazuhisa","Alpay","1986-05-04"
"Qiwen","Alpin","1986-01-16"
"Mechthild","Alpin","1986-01-26"
"Ronghao","Alpin","1986-06-03"
"Jessie","Alpin","1986-01-03"
"Shigehito","Alpin","1986-05-04"
"Khosrow","Alpin","1986-10-28"
"Kwok","Alpin","1986-11-15"
"Demin","Alpin","1986-03-01"
"Temple","Alpin","1986-08-31"
"Heejo","Alpin","1986-06-13"
"Almudena","Alpin","1986-11-20"
"Shahar","Alpin","1986-02-20"
"Khatoun","Alpin","1986-11-06"
"IEEE","Alpin","1986-09-10"
"Krister","Alpin","1986-11-03"
"Nevio","Alpin","1986-07-24"
"Mingzeng","Alpin","1986-09-01"
"Vasiliy","Alpin","1986-07-05"
"Aiichiro","Alpin","1986-03-03"
"Sanjay","Alpin","1986-05-25"
"Mohan","Alpin","1986-08-05"
"Youngkon","Alvarado","1986-06-02"
"Jiafu","Alvarado","1986-03-30"
"Sahrah","Alvarado","1986-09-03"
"Mara","Alvarado","1986-02-21"
"Uwe","Alvarado","1986-07-17"
"Arie","Alvarado","1986-03-09"
"Isaac","Alvarado","1986-12-02"
"Xuejun","Alvarado","1986-10-17"
"Mansur","Alvarado","1986-03-20"
"Jagoda","Alvarado","1986-12-01"
"Fun","Alvarado","1986-08-05"
"Yuqun","Alvarado","1986-11-12"
"Hironoby","Alvarado","1986-10-03"
"Mihalis","Alvarado","1986-06-08"
"Sangeeta","Alvarado","1986-01-21"
"Aloys","Alvarado","1986-06-23"
"Arun","Alvarado","1986-08-16"
"Geraldo","Alvarado","1986-07-07"
"Geoffry","Alvarado","1986-05-10"
"Adit","Alvarado","1986-11-12"
"Pascal","Alvarado","1986-02-28"
"Hausi","Alvarado","1986-12-18"
"Guozhong","Alvarado","1986-11-16"
"Mahmut","Alvarado","1986-12-26"
"Tristan","Alvarado","1986-05-13"
"Zhenbing","Alvarado","1986-02-19"
"Bowen","Alvarado","1986-10-30"
"Falguni","Alvarado","1986-12-13"
"Kwangsub","Alvarado","1986-12-15"
"Sadun","Ambroszkiewicz","1986-02-20"
"Gaetan","Ambroszkiewicz","1986-02-07"
"Khun","Ambroszkiewicz","1986-12-18"
"Kazuhide","Ambroszkiewicz","1986-05-07"
"Isamu","Ambroszkiewicz","1986-11-05"
"Aluzio","Ambroszkiewicz","1986-04-24"
"Yahiko","Ambroszkiewicz","1986-12-15"
"Geoffry","Ambroszkiewicz","1986-06-09"
"Kien","Ambroszkiewicz","1986-04-10"
"Mingzeng","Ambroszkiewicz","1986-12-25"
"Jayson","Ambroszkiewicz","1986-02-08"
"Dekang","Ambroszkiewicz","1986-12-09"
"Jiafu","Ambroszkiewicz","1986-11-05"
"Marsha","Ambroszkiewicz","1986-06-20"
"Tesuya","Ambroszkiewicz","1986-08-05"
"Goo","Ambroszkiewicz","1986-05-18"
"Yishay","Ambroszkiewicz","1986-10-13"
"Tze","Ambroszkiewicz","1986-05-27"
"Masako","Ambroszkiewicz","1986-07-07"
"Leif","Ambroszkiewicz","1986-04-04"
"Falguni","Ambroszkiewicz","1986-11-29"
"Chikara","Anandan","1986-02-22"
"Tuval","Anandan","1986-01-08"
"Bluma","Anandan","1986-11-24"
"Gio","Anandan","1986-01-19"
"Anneli","Anandan","1986-01-28"
"Mara","Anandan","1986-10-27"
"Zhenbing","Anandan","1986-10-09"
"Berto","Anandan","1986-05-21"
"Chikako","Anandan","1986-05-15"
"Roded","Anandan","1986-09-09"
"Krassimir","Anandan","1986-06-28"
"Babette","Anandan","1986-11-22"
"Larisa","Anandan","1986-05-20"
"Gita","Anandan","1986-02-01"
"Kokou","Anandan","1986-10-25"
"Adhemar","Anandan","1986-08-20"
"Gaurav","Anandan","1986-12-25"
"Sreekrishna","Anandan","1986-10-25"
"Guadalupe","Anandan","1986-10-18"
"Zejun","Anandan","1986-03-19"
"Mohd","Anandan","1986-01-16"
"Snehasis","Anandan","1986-11-02"
"Doohun","Anandan","1986-09-26"
"Sergi","Anandan","1986-09-17"
"Khue","Anandan","1986-10-29"
"Oldrich","Anandan","1986-02-04"
"Leandro","Anandan","1986-01-27"
"Sanjiv","Anandan","1986-11-14"
"Ghassan","Anandan","1986-10-06"
"Aimee","Anandan","1986-09-03"
"Zorica","Anandan","1986-07-22"
"Bedir","Ananiadou","1986-08-27"
"Babette","Ananiadou","1986-03-03"
"Yoshimitsu","Ananiadou","1986-04-26"
"Yifei","Ananiadou","1986-03-27"
"Mabhin","Ananiadou","1986-05-06"
"Chikara","Ananiadou","1986-04-10"
"Arco","Ananiadou","1986-02-16"
"Ziva","Ananiadou","1986-10-09"
"Fei","Ananiadou","1986-12-27"
"Ohad","Ananiadou","1986-10-10"
"Bartek","Ananiadou","1986-07-24"
"Nechama","Ananiadou","1986-04-14"
"Yongdong","Ananiadou","1986-03-21"
"Masamitsu","Ananiadou","1986-11-24"
"Greger","Ananiadou","1986-06-30"
"Jaana","Ananiadou","1986-09-17"
"Sampalli","Ananiadou","1986-09-13"
"Dinkar","Ananiadou","1986-09-20"
"Subhankar","Ananiadou","1986-09-24"
"Gino","Andreotta","1986-11-28"
"Jaana","Andreotta","1986-06-26"
"Alain","Andreotta","1986-06-16"
"Aluzio","Andreotta","1986-04-24"
"Yurij","Andreotta","1986-03-19"
"Sedat","Andreotta","1986-01-17"
"Jahangir","Andreotta","1986-09-02"
"Vesna","Andreotta","1986-09-14"
"Alain","Andreotta","1986-04-24"
"Falguni","Andreotta","1986-08-08"
"Hatsukazu","Andreotta","1986-11-10"
"Lucian","Andreotta","1986-12-15"
"Peer","Andreotta","1986-04-02"
"Younwoo","Andreotta","1986-05-03"
"Uta","Andreotta","1986-01-14"
"Fumino","Andreotta","1986-10-08"
"Vasilis","Andreotta","1986-06-26"
"Jaroslava","Andreotta","1986-04-13"
"Satyanarayana","Androutsos","1986-07-19"
"Mahmut","Androutsos","1986-04-05"
"Yunming","Androutsos","1986-01-22"
"Mong","Androutsos","1986-05-17"
"Hidefumi","Androutsos","1986-07-31"
"Bouchung","Androutsos","1986-03-24"
"Sreekrishna","Androutsos","1986-11-10"
"Mohd","Androutsos","1986-12-17"
"Hugh","Androutsos","1986-09-21"
"Lobel","Androutsos","1986-08-17"
"Munenori","Androutsos","1986-12-13"
"Bojan","Androutsos","1986-12-28"
"Subhash","Androutsos","1986-07-05"
"Arunachalam","Androutsos","1986-02-12"
"Toshimitsu","Androutsos","1986-02-04"
"Djelloul","Androutsos","1986-01-15"
"Tiina","Angel","1986-02-10"
"Shigenori","Angel","1986-05-31"
"Lansing","Angel","1986-01-31"
"Margareta","Angel","1986-12-31"
"Sukumar","Angel","1986-03-23"
"Nishit","Angel","1986-08-08"
"Martijn","Angel","1986-01-29"
"Syozo","Angel","1986-05-04"
"Hugh","Angel","1986-04-25"
"Toshiki","Angel","1986-09-13"
"Hinrich","Angel","1986-11-05"
"Nimmagadda","Angelopoulos","1986-10-09"
"Tiina","Angelopoulos","1986-01-16"
"Gritta","Angelopoulos","1986-09-06"
"Wuxu","Angelopoulos","1986-09-03"
"Denis","Angelopoulos","1986-11-02"
"Xuejun","Angelopoulos","1986-04-10"
"Prasadram","Angelopoulos","1986-10-19"
"Aral","Angelopoulos","1986-08-04"
"Idoia","Angelopoulos","1986-09-24"
"Oguz","Angelopoulos","1986-11-29"
"Munehiro","Angelopoulos","1986-04-07"
"Marke","Angelopoulos","1986-11-18"
"Sangeeta","Angelopoulos","1986-08-15"
"Nadjib","Angelopoulos","1986-08-15"
"Panayotis","Angelopoulos","1986-03-24"
"Arumugam","Angelopoulos","1986-12-20"
"Manu","Angelopoulos","1986-11-05"
"Subhrajyoti","Angelopoulos","1986-08-23"
"Mantis","Angelopoulos","1986-04-14"
"Hairong","Angelopoulos","1986-11-01"
"Baruch","Angelopoulos","1986-10-10"
"Ravishankar","Angelopoulos","1986-10-18"
"Fumiko","Angelopoulos","1986-03-05"
"Bikash","Angelopoulos","1986-05-30"
"Radoslaw","Angelopoulos","1986-11-17"
"Jasminko","Angelov","1986-09-08"
"Fei","Angelov","1986-06-28"
"Sugwoo","Angelov","1986-03-13"
"Jinya","Angelov","1986-04-23"
"Mayuri","Angelov","1986-05-02"
"Tokuyasu","Angelov","1986-11-16"
"Paddy","Angelov","1986-09-10"
"Teruyuki","Angelov","1986-11-08"
"Yurij","Angelov","1986-12-09"
"Rasikan","Angelov","1986-08-08"
"Guadalupe","Angelov","1986-07-11"
"Elrique","Angelov","1986-01-30"
"Kiyomitsu","Angelov","1986-04-24"
"Weiru","Angelov","1986-06-12"
"Vatsa","Angelov","1986-07-14"
"Sreenivas","Angelov","1986-07-31"
"Tsutomu","Angelov","1986-10-03"
"Yoshimitsu","Angelov","1986-04-09"
"Radhakrishnan","Angelov","1986-01-27"
"Marke","Angelov","1986-08-15"
"Ziyad","Angelov","1986-08-06"
"Mart","Angelov","1986-06-25"
"Jiang","Angelov","1986-12-12"
"Yakkov","Angelov","1986-06-30"
"Chandrasekaran","Angelov","1986-05-14"
"Jianhui","Angelov","1986-04-14"
"Kokou","Angelov","1986-09-09"
"Mart","Anger","1986-11-11"
"Seshu","Anger","1986-07-01"
"Woody","Anger","1986-07-05"
"Dekang","Anger","1986-02-09"
"Kamran","Anger","1986-11-15"
"Marek","Anger","1986-08-28"
"Xiaoqiang","Anger","1986-11-12"
"Manibrata","Anger","1986-04-21"
"Xiadong","Anger","1986-09-07"
"Temple","Anger","1986-12-06"
"Eckart","Anger","1986-05-13"
"Ewing","Anger","1986-05-25"
"Shmuel","Anger","1986-01-27"
"Naftali","Anger","1986-04-16"
"Gita","Anger","1986-09-21"
"Gonzalo","Anger","1986-02-12"
"Wilmer","Anger","1986-01-14"
"Saeko","Anger","1986-11-18"
"Arne","Angiulli","1986-02-20"
"Yurii","Angiulli","1986-11-21"
"Martins","Angiulli","1986-07-05"
"Arto","Angiulli","1986-05-05"
"Zhenhua","Angiulli","1986-03-31"
"Kwangjo","Angiulli","1986-09-20"
"Valeska","Angiulli","1986-06-01"
"Murthy","Angiulli","1986-08-02"
"Jackson","Angiulli","1986-01-08"
"Jinpo","Angiulli","1986-09-05"
"Jacqueline","Angiulli","1986-05-14"
"Paddy","Angiulli","1986-09-02"
"Kaijung","Angiulli","1986-12-23"
"Giao","Angiulli","1986-09-16"
"Nechama","Angiulli","1986-07-20"
"Mary","Angiulli","1986-01-23"
"Gennady","Angiulli","1986-10-14"
"Uma","Angiulli","1986-02-20"
"Tru","Angot","1986-10-18"
"Tze","Angot","1986-07-03"
"Shigehiro","Angot","1986-07-31"
"Shahar","Angot","1986-06-23"
"Yoshimitsu","Angot","1986-11-18"
"Percy","Angot","1986-08-21"
"Djenana","Angot","1986-04-29"
"Shaowei","Angot","1986-11-19"
"Kagan","Angot","1986-03-15"
"Rasiah","Angot","1986-02-08"
"Angel","Angot","1986-06-06"
"Abdulla","Angot","1986-05-05"
"Ymte","Angot","1986-06-18"
"Paris","Angot","1986-09-28"
"Genki","Angot","1986-09-08"
"Kerhong","Angot","1986-03-27"
"Jaana","Angot","1986-04-26"
"Kazuhira","Angot","1986-01-10"
"Parto","Angot","1986-07-25"
"Xinyu","Angot","1986-06-25"
"Junsik","Angot","1986-04-24"
"Gila","Angot","1986-01-23"
"Hidekazu","Anguita","1986-02-25"
"Greger","Anguita","1986-12-24"
"Kitty","Anguita","1986-06-14"
"Raimond","Anguita","1986-06-20"
"Christophe","Anguita","1986-09-15"
"Marlo","Anguita","1986-09-03"
"Nikolaus","Anguita","1986-04-30"
"Guenter","Anguita","1986-07-11"
"Dung","Anguita","1986-05-19"
"Jingling","Anguita","1986-05-17"
"Valery","Anguita","1986-10-01"
"Babette","Anguita","1986-03-18"
"Munir","Anguita","1986-10-19"
"Elzbieta","Anguita","1986-03-30"
"Ranan","Anguita","1986-11-10"
"Kotesh","Anguita","1986-12-30"
"Sreenivas","Anguita","1986-04-07"
"Deborah","Anguita","1986-12-31"
"Leah","Anguita","1986-04-07"
"Moto","Anguita","1986-10-11"
"Lucien","Anguita","1986-11-29"
"Chuanti","Anick","1986-08-27"
"Shigeo","Anick","1986-12-02"
"Hilary","Anick","1986-11-14"
"Shem","Anick","1986-02-04"
"Feiyu","Anick","1986-05-23"
"Heping","Anick","1986-07-16"
"Arco","Anick","1986-09-10"
"Uli","Anick","1986-02-18"
"Lene","Anick","1986-04-07"
"Subhash","Anick","1986-09-02"
"Paddy","Anick","1986-02-10"
"Munehiko","Anick","1986-02-21"
"Heping","Anick","1986-02-17"
"Vojin","Anick","1986-09-04"
"Alois","Anick","1986-03-14"
"Boalin","Anick","1986-11-21"
"Odysseas","Anick","1986-04-04"
"Mariusz","Anick","1986-07-03"
"Suzette","Anick","1986-02-11"
"Yahiko","Anick","1986-04-03"
"Morrie","Anick","1986-01-25"
"Siddarth","Anick","1986-06-26"
"Chuanyi","Anick","1986-03-08"
"Mang","Anick","1986-11-10"
"Ashish","Anick","1986-11-11"
"Ipke","Anick","1986-08-16"
"Souichi","Anick","1986-04-21"
"Fatemeh","Anick","1986-10-17"
"Martina","Anick","1986-08-12"
"Emran","Anick","1986-08-31"
"Demin","Anick","1986-01-18"
"Fumiyo","Anick","1986-04-18"
"Marek","Anick","1986-01-29"
"Danai","Anick","1986-06-25"
"Karlis","Anido","1986-05-12"
"Mona","Anido","1986-02-20"
"Sibyl","Anido","1986-12-06"
"Tze","Anido","1986-02-25"
"Lech","Anido","1986-12-07"
"Hironobu","Anido","1986-06-12"
"Muneo","Anido","1986-06-27"
"Goetz","Anido","1986-10-26"
"Jaewoo","Anido","1986-10-03"
"Ortrud","Anido","1986-01-29"
"Cordelia","Anido","1986-09-08"
"Constantijn","Anido","1986-06-11"
"Turgut","Anido","1986-03-14"
"Toney","Anido","1986-07-16"
"Szabolcs","Anido","1986-11-15"
"Halsur","Anido","1986-08-07"
"Jacqueline","Anido","1986-08-24"
"Kwok","Anido","1986-02-14"
"Prasadram","Anido","1986-12-13"
"Junsik","Anily","1986-08-01"
"Zhonghui","Anily","1986-03-20"
"Snehasis","Anily","1986-03-03"
"Mohd","Anily","1986-08-21"
"Jackson","Anily","1986-09-05"
"Bartek","Anily","1986-11-14"
"Tetsushi","Anily","1986-11-26"
"Yurij","Anily","1986-06-27"
"Greger","Anily","1986-03-08"
"Ranga","Anily","1986-11-10"
"Pantung","Anily","1986-01-11"
"Khoa","Anily","1986-05-14"
"Yunming","Anily","1986-03-05"
"Mooi","Anily","1986-02-02"
"Rimli","Anily","1986-07-21"
"Bernt","Anily","1986-06-08"
"Yonghoan","Anily","1986-01-07"
"Huiqun","Anily","1986-07-14"
"Chaoyi","Antonakopoulos","1986-12-24"
"Nathan","Antonakopoulos","1986-11-27"
"Masaru","Antonakopoulos","1986-09-24"
"Dipayan","Antonakopoulos","1986-06-06"
"Alexius","Antonakopoulos","1986-08-16"
"Phule","Antonakopoulos","1986-03-22"
"Giap","Antonakopoulos","1986-07-27"
"Mansur","Antonakopoulos","1986-09-19"
"Zhenbing","Antonakopoulos","1986-04-11"
"Fumitaka","Antonakopoulos","1986-11-13"
"Taizo","Antonakopoulos","1986-02-17"
"Odoardo","Antonakopoulos","1986-05-08"
"Jackson","Antonakopoulos","1986-04-27"
"Make","Antonakopoulos","1986-09-21"
"Frederique","Antonakopoulos","1986-05-06"
"Breannda","Antonakopoulos","1986-12-11"
"Paraskevi","Antonakopoulos","1986-03-23"
"Debaprosad","Antonakopoulos","1986-09-16"
"Tsvetan","Antonakopoulos","1986-01-22"
"Pramod","Antonakopoulos","1986-06-08"
